Designator,Mid X,Mid Y,Rotation,Layer
D1,184.94375,-167.48125,90.0,bottom
D2,200.81875,-153.19375,270.0,bottom
D3,223.04375,-167.48125,90.0,bottom
D4,184.94375,-186.53125,90.0,bottom
D5,203.99375,-186.53125,90.0,bottom
D6,223.04375,-186.53125,90.0,bottom
D7,184.94375,-205.58125,90.0,bottom
D8,203.99375,-205.58125,90.0,bottom
D9,223.04375,-205.58125,90.0,bottom
J1,163.368392,-193.368182,12.0,bottom
J2,233.040085,-193.368182,348.0,bottom
SW1,179.145,-163.0,0.0,bottom
SW3,217.245,-163.0,0.0,bottom
SW4,179.145,-182.05,0.0,bottom
SW5,198.195,-182.05,0.0,bottom
SW6,217.245,-182.05,0.0,bottom
SW7,179.145,-201.1,0.0,bottom
SW8,198.195,-201.1,0.0,bottom
SW9,217.245,-201.1,0.0,bottom
