Designator,Mid X,Mid Y,Rotation,Layer
D1,173.482,-168.402,90.0,bottom
D10,188.67,-180.525,270.0,bottom
D2,196.6075,-157.50625,180.0,bottom
D3,214.757,-149.86,270.0,bottom
D4,177.5575,-176.55625,180.0,bottom
D5,193.495,-176.55625,180.0,bottom
D6,215.6575,-176.55625,180.0,bottom
D7,177.5575,-195.60625,180.0,bottom
D8,196.6075,-194.6,180.0,bottom
D9,215.6575,-195.60625,180.0,bottom
J1,163.368392,-193.368182,12.0,bottom
J2,233.040085,-193.368182,348.0,bottom
J3,198.195,-205.925,270.0,top
SW10,198.445,-191.575,90.0,top
SW11,198.445,-182.1125,90.0,top
SW12,179.145,-163.25,0.0,top
SW13,217.245,-163.25,0.0,top
