Designator,Mid X,Mid Y,Rotation,Layer
D1,72.353124,-127.946066,90.0,bottom
D10,297.003123,-129.446066,78.0,bottom
D11,316.948122,-127.918567,90.0,bottom
D12,335.998124,-127.918566,90.0,bottom
D13,63.621877,-146.996065,90.0,bottom
D14,87.434376,-146.996068,90.0,bottom
D15,107.367407,-150.354778,102.0,bottom
D16,126.001118,-154.315496,102.0,bottom
D17,144.634833,-158.276213,102.0,bottom
D18,163.268543,-162.236931,102.0,bottom
D19,245.062707,-159.961932,78.0,bottom
D2,91.403125,-127.946067,90.0,bottom
D20,263.696417,-156.001212,78.0,bottom
D21,282.330129,-152.040491,78.0,bottom
D22,300.963844,-148.079777,78.0,bottom
D23,320.916875,-146.968565,90.0,bottom
D24,344.729376,-146.968567,90.0,bottom
D25,57.271874,-166.046065,90.0,bottom
D26,83.465624,-166.046065,90.0,bottom
D27,103.406691,-168.98849,102.0,bottom
D28,122.040402,-172.949205,102.0,bottom
D29,140.687109,-176.84879,102.0,bottom
D3,111.328124,-131.721065,102.0,bottom
D30,159.307825,-180.870644,102.0,bottom
D31,249.023422,-178.595643,78.0,bottom
D32,267.657136,-174.634925,78.0,bottom
D33,286.290847,-170.674205,78.0,bottom
D34,304.92456,-166.713489,78.0,bottom
D35,324.885624,-166.018566,90.0,bottom
D36,351.079373,-166.018566,90.0,bottom
D37,53.303124,-185.096065,90.0,bottom
D38,79.496873,-185.096064,90.0,bottom
D39,99.445973,-187.622201,102.0,bottom
D4,129.961838,-135.681784,102.0,bottom
D40,118.079684,-191.582918,102.0,bottom
D41,136.713396,-195.543637,102.0,bottom
D42,155.347107,-199.504355,102.0,bottom
D43,252.984142,-197.229355,78.0,bottom
D44,271.617855,-193.268637,78.0,bottom
D45,290.251566,-189.30792,78.0,bottom
D46,308.885276,-185.347201,78.0,bottom
D47,328.854374,-185.068567,90.0,bottom
D48,350.285626,-185.068566,90.0,bottom
D49,371.716874,-185.068566,90.0,bottom
D5,148.59555,-139.6425,102.0,bottom
D50,49.334375,-204.146065,90.0,bottom
D51,73.146874,-204.146064,90.0,bottom
D52,95.485255,-206.255909,102.0,bottom
D53,116.448179,-210.711719,102.0,bottom
D54,149.057174,-217.642978,102.0,bottom
D55,179.336956,-224.079144,102.0,bottom
D56,228.994292,-221.804143,78.0,bottom
D57,256.944859,-215.863065,78.0,bottom
D58,287.224642,-209.426902,78.0,bottom
D59,310.516783,-204.476001,78.0,bottom
D6,167.229262,-143.603217,102.0,bottom
D60,335.458124,-204.118563,90.0,bottom
D61,361.588124,-204.161064,90.0,bottom
D7,241.10199,-141.32822,78.0,bottom
D8,259.7357,-137.367502,78.0,bottom
D9,278.36941,-133.406784,78.0,bottom
J1,164.138074,-190.60338,348.0,top
J2,233.809765,-190.603379,12.0,top
LED1,67.328126,-128.821066,180.0,bottom
LED10,291.936958,-131.512988,168.0,bottom
LED11,311.553126,-128.821065,180.0,bottom
LED12,330.603125,-128.821065,180.0,bottom
LED13,58.508122,-147.896068,0.0,bottom
LED14,82.320624,-147.896068,0.0,bottom
LED15,102.033574,-150.171701,12.0,bottom
LED16,120.667289,-154.132421,12.0,bottom
LED17,139.300998,-158.093139,12.0,bottom
LED18,157.934712,-162.053852,12.0,bottom
LED19,239.996539,-162.028853,348.0,bottom
LED2,86.378126,-128.821065,180.0,bottom
LED20,258.630253,-158.068136,348.0,bottom
LED21,277.263964,-154.107419,348.0,bottom
LED22,295.897676,-150.146701,348.0,bottom
LED23,315.608124,-147.896068,0.0,bottom
LED24,339.420624,-147.896066,0.0,bottom
LED25,52.084375,-166.946067,180.0,bottom
LED26,78.278126,-166.946061,180.0,bottom
LED27,98.072857,-168.805412,192.0,bottom
LED28,116.706568,-172.766132,192.0,bottom
LED29,135.340281,-176.726846,192.0,bottom
LED3,105.994293,-131.537984,192.0,bottom
LED30,153.97399,-180.687567,192.0,bottom
LED31,243.957259,-180.662565,168.0,bottom
LED32,262.59097,-176.701847,168.0,bottom
LED33,281.224682,-172.741132,168.0,bottom
LED34,299.858395,-168.780416,168.0,bottom
LED35,319.691876,-166.971066,180.0,bottom
LED36,345.885627,-166.971067,180.0,bottom
