Designator,Mid X,Mid Y,Rotation,Layer
D1,71.947586,-125.469467,90.0,bottom
D10,296.597585,-126.969467,78.0,bottom
D11,316.542584,-125.441968,90.0,bottom
D12,335.592587,-125.441967,90.0,bottom
D13,63.216339,-144.519466,90.0,bottom
D14,87.028838,-144.519469,90.0,bottom
D15,106.961869,-147.87818,102.0,bottom
D16,125.59558,-151.838897,102.0,bottom
D17,144.229295,-155.799614,102.0,bottom
D18,162.863006,-159.760332,102.0,bottom
D19,244.657169,-157.485333,78.0,bottom
D2,90.997587,-125.469468,90.0,bottom
D20,263.29088,-153.524613,78.0,bottom
D21,281.924591,-149.563892,78.0,bottom
D22,300.558306,-145.603179,78.0,bottom
D23,320.511337,-144.491967,90.0,bottom
D24,344.323838,-144.491968,90.0,bottom
D25,56.866337,-163.569467,90.0,bottom
D26,83.060086,-163.569466,90.0,bottom
D27,103.001154,-166.511891,102.0,bottom
D28,121.634864,-170.472607,102.0,bottom
D29,140.281571,-174.372192,102.0,bottom
D3,110.922586,-129.244466,102.0,bottom
D30,158.902287,-178.394045,102.0,bottom
D31,248.617884,-176.119045,78.0,bottom
D32,267.251598,-172.158327,78.0,bottom
D33,285.885309,-168.197607,78.0,bottom
D34,304.519023,-164.23689,78.0,bottom
D35,324.480086,-163.541968,90.0,bottom
D36,350.673836,-163.541968,90.0,bottom
D37,52.897587,-182.619466,90.0,bottom
D38,79.091336,-182.619466,90.0,bottom
D39,99.040435,-185.145602,102.0,bottom
D4,129.556301,-133.205186,102.0,bottom
D40,117.674146,-189.10632,102.0,bottom
D41,136.307859,-193.067038,102.0,bottom
D42,154.941569,-197.027757,102.0,bottom
D43,252.578605,-194.752757,78.0,bottom
D44,271.212318,-190.792039,78.0,bottom
D45,289.846028,-186.831321,78.0,bottom
D46,308.479738,-182.870602,78.0,bottom
D47,328.448836,-182.591968,90.0,bottom
D48,349.880088,-182.591967,90.0,bottom
D49,371.311336,-182.591968,90.0,bottom
D5,148.190012,-137.165901,102.0,bottom
D50,48.928837,-201.669466,90.0,bottom
D51,72.741337,-201.669465,90.0,bottom
D52,95.079716,-203.779311,102.0,bottom
D53,116.042641,-208.235121,102.0,bottom
D54,148.651636,-215.166379,102.0,bottom
D55,178.931418,-221.602545,102.0,bottom
D56,228.588754,-219.327544,78.0,bottom
D57,256.539321,-213.386467,78.0,bottom
D58,286.819103,-206.950303,78.0,bottom
D59,310.111245,-201.999402,78.0,bottom
D6,166.823724,-141.126618,102.0,bottom
D60,335.052586,-201.641965,90.0,bottom
D61,361.182586,-201.684466,90.0,bottom
D7,240.696453,-138.851621,78.0,bottom
D8,259.330163,-134.890904,78.0,bottom
D9,277.963872,-130.930186,78.0,bottom
J1,163.732536,-188.126781,348.0,top
J2,233.404227,-188.12678,12.0,top
LED1,66.922588,-126.344467,0.0,bottom
LED10,291.53142,-129.036389,348.0,bottom
LED11,311.147588,-126.344466,0.0,bottom
LED12,330.197587,-126.344467,0.0,bottom
LED13,58.102584,-145.419469,0.0,bottom
LED14,81.915086,-145.41947,0.0,bottom
LED15,101.628036,-147.695102,12.0,bottom
LED16,120.261751,-151.655823,12.0,bottom
LED17,138.895459,-155.616541,12.0,bottom
LED18,157.529173,-159.577254,12.0,bottom
LED19,239.591001,-159.552255,348.0,bottom
LED2,85.972588,-126.344466,0.0,bottom
LED20,258.224715,-155.591538,348.0,bottom
LED21,276.858427,-151.630821,348.0,bottom
LED22,295.492138,-147.670103,348.0,bottom
LED23,315.202586,-145.419469,0.0,bottom
LED24,339.015087,-145.419467,0.0,bottom
LED25,51.678837,-164.469468,0.0,bottom
LED26,77.872587,-164.469463,0.0,bottom
LED27,97.66732,-166.328814,12.0,bottom
LED28,116.301031,-170.289534,12.0,bottom
LED29,134.934743,-174.250248,12.0,bottom
LED3,105.588755,-129.061386,12.0,bottom
LED30,153.568452,-178.210969,12.0,bottom
LED31,243.551721,-178.185966,348.0,bottom
LED32,262.185432,-174.225248,348.0,bottom
LED33,280.819144,-170.264534,348.0,bottom
LED34,299.452858,-166.303817,348.0,bottom
LED35,319.286339,-164.494468,0.0,bottom
LED36,345.480088,-164.494468,0.0,bottom
